Article,Topic,Legitimacy
الفيديو ليس لمظاهرة خرجت حديثًا في مصر ضد عبد الفتاح السيسي,سياسة,زائف
"الحساب الذي نشر صورة السيسي تحت اسم ""ديفيد آرييل"" ليس حساب الموساد الرسمي",سياسة,زائف
الصورة مفبركة وليست لمتظاهرين جزائريين يطالبون بضم تلمسان إلى المغرب,سياسة,زائف
برقية مفبركة وليست لتعزية من الملك محمد السادس إلى نتنياهو في السابع من أكتوبر,سياسة,زائف
الصورة مفبركة وليست لأسامة بن لادن في اجتماع سري مع جورج بوش وقيادات أميركية,سياسة,زائف
يائير لابيد لم يطالب بالاعتراف بخسائر إسرائيل في القصف الإيراني على أربيل,سياسة,زائف
سلطنة عمان لم تعلن إغلاق المجال الجويّ أمام طائرات حربيّة متجهة إلى اليمن,سياسة,زائف
هنية لم يتوعّد بتدمير غزة في حال أُقصيت حماس من المرحلة المقبلة,سياسة,زائف
الملك سلمان لم يقل لذا نيويورك تايمز إن السيسي أعطى السعودية تيران وصنافير مقابل المساعدات,سياسة,زائف
بشار الأسد لم يتوعد بتجريد السوريين في تركيا من الجنسية إن لم يعودوا خلال 6 أشهر,سياسة,زائف
فرنسا لم تحمّل المغرب مسؤولية مقتل مواطنيها داخل المياه الإقليمية للجزائر,سياسة,زائف
التسجيل مفبرك ولم يعلن بشار الأسد تنحيه عن منصبه,سياسة,زائف
التصميم المنسوب لميدل إيست مونيتور عن تحويل سعيّد أموال مساعدات لتونس إلى حسابات بالخارج مفبرك,سياسة,زائف
الصورة مفبركة ولا تجمع أردوغان بنجلاء المنقوش,سياسة,زائف
الفيديو مفبرك وليس لاختراق أليكس جونز بث القمة العالمية للحكومات في دبي,سياسة,زائف
المنشور المنسوب لنجلاء المنقوش بأن لقاءها بكوهين كان بطلب من الدبيبة مفبرك,سياسة,زائف
الصورة مفبركة ولم يتصدر حميدتي غلاف مجلة تايم الأميركية,سياسة,زائف
ترجمة مفبركة وبوتين لم يشكر الجزائر على تعاونها في التصدي لتمرد فاغنر,سياسة,زائف
التصميم مفبرك ولم يُعلن السيسي عن صرف 3 ملايين دولار لأسر الجنود الإسرائيليين,سياسة,زائف
الفيديو ليس لهتاف جماهير الأهلي تضامنًا مع فلسطين عقب حادثة الحدود المصرية,سياسة,زائف
سي إن إن لم تنشر تصريحًا لخالد مشعل عن عدم التزام إيران بتحويل 50 مليون دولار لهنية,سياسة,زائف
الفيديو ليس لمظاهرة خرجت حديثًا في مصر ضد عبد الفتاح السيسي,سياسة,زائف
"الحساب الذي نشر صورة السيسي تحت اسم ""ديفيد آرييل"" ليس حساب الموساد الرسمي",سياسة,زائف
الصورة مفبركة وليست لمتظاهرين جزائريين يطالبون بضم تلمسان إلى المغرب,سياسة,زائف
برقية مفبركة وليست لتعزية من الملك محمد السادس إلى نتنياهو في السابع من أكتوبر,سياسة,زائف
الصورة مفبركة وليست لأسامة بن لادن في اجتماع سري مع جورج بوش وقيادات أميركية,سياسة,زائف
يائير لابيد لم يطالب بالاعتراف بخسائر إسرائيل في القصف الإيراني على أربيل,سياسة,زائف
سلطنة عمان لم تعلن إغلاق المجال الجويّ أمام طائرات حربيّة متجهة إلى اليمن,سياسة,زائف
هنية لم يتوعّد بتدمير غزة في حال أُقصيت حماس من المرحلة المقبلة,سياسة,زائف
الملك سلمان لم يقل لذا نيويورك تايمز إن السيسي أعطى السعودية تيران وصنافير مقابل المساعدات,سياسة,زائف
بشار الأسد لم يتوعد بتجريد السوريين في تركيا من الجنسية إن لم يعودوا خلال 6 أشهر,سياسة,زائف
فرنسا لم تحمّل المغرب مسؤولية مقتل مواطنيها داخل المياه الإقليمية للجزائر,سياسة,زائف
التسجيل مفبرك ولم يعلن بشار الأسد تنحيه عن منصبه,سياسة,زائف
التصميم المنسوب لميدل إيست مونيتور عن تحويل سعيّد أموال مساعدات لتونس إلى حسابات بالخارج مفبرك,سياسة,زائف
الصورة مفبركة ولا تجمع أردوغان بنجلاء المنقوش,سياسة,زائف
الفيديو مفبرك وليس لاختراق أليكس جونز بث القمة العالمية للحكومات في دبي,سياسة,زائف
المنشور المنسوب لنجلاء المنقوش بأن لقاءها بكوهين كان بطلب من الدبيبة مفبرك,سياسة,زائف
الصورة مفبركة ولم يتصدر حميدتي غلاف مجلة تايم الأميركية,سياسة,زائف
ترجمة مفبركة وبوتين لم يشكر الجزائر على تعاونها في التصدي لتمرد فاغنر,سياسة,زائف
التصميم مفبرك ولم يُعلن السيسي عن صرف 3 ملايين دولار لأسر الجنود الإسرائيليين,سياسة,زائف
الفيديو ليس لهتاف جماهير الأهلي تضامنًا مع فلسطين عقب حادثة الحدود المصرية,سياسة,زائف
سي إن إن لم تنشر تصريحًا لخالد مشعل عن عدم التزام إيران بتحويل 50 مليون دولار لهنية,سياسة,زائف
الفيديو ليس لمظاهرة خرجت حديثًا في مصر ضد عبد الفتاح السيسي,سياسة,زائف
"الحساب الذي نشر صورة السيسي تحت اسم ""ديفيد آرييل"" ليس حساب الموساد الرسمي",سياسة,زائف
الصورة مفبركة وليست لمتظاهرين جزائريين يطالبون بضم تلمسان إلى المغرب,سياسة,زائف
برقية مفبركة وليست لتعزية من الملك محمد السادس إلى نتنياهو في السابع من أكتوبر,سياسة,زائف
الصورة مفبركة وليست لأسامة بن لادن في اجتماع سري مع جورج بوش وقيادات أميركية,سياسة,زائف
يائير لابيد لم يطالب بالاعتراف بخسائر إسرائيل في القصف الإيراني على أربيل,سياسة,زائف
سلطنة عمان لم تعلن إغلاق المجال الجويّ أمام طائرات حربيّة متجهة إلى اليمن,سياسة,زائف
هنية لم يتوعّد بتدمير غزة في حال أُقصيت حماس من المرحلة المقبلة,سياسة,زائف
الملك سلمان لم يقل لذا نيويورك تايمز إن السيسي أعطى السعودية تيران وصنافير مقابل المساعدات,سياسة,زائف
بشار الأسد لم يتوعد بتجريد السوريين في تركيا من الجنسية إن لم يعودوا خلال 6 أشهر,سياسة,زائف
